County FIPS,demand_covered,total_demand_of_county,hot_spot,county_name,state_name,priority,percentage_for_30,percentage_for_50,percentage_for_70
31015,0,0,0,Boyd,NE,0,100,100,100
31017,0,0,0,Brown,NE,0,100,100,100
31019,0,11,0.02215107,Buffalo,NE,5.883324272,0,36.36363636,63.63636364
31021,0,2,0.030964546,Burt,NE,7.868091036,0,0,0
31023,0,11,0.137225549,Butler,NE,16.08283433,0,0,36.36363636
31025,0,4,0.015239256,Cass,NE,0.164583968,0,0,25
31027,0,2,0.023803856,Cedar,NE,0.28802666,0,0,0
31029,0,0,0,Chase,NE,0,100,100,100
31031,0,0,0,Cherry,NE,0,100,100,100
31033,0,1,0.011223345,Cheyenne,NE,1.358024691,0,0,0
31035,0,3,0.048363695,Clay,NE,7.960664195,0,0,66.66666667
31037,105,172,1.606125689,Colfax,NE,833.2580073,61.04651163,61.04651163,61.04651163
31039,0,5,0.056522722,Cuming,NE,10.94279901,0,0,40
31041,0,2,0.01855804,Custer,NE,3.373851721,0,0,50
31043,322,376,1.877559173,Dakota,NE,1617.517228,85.63829787,100,100
31045,0,0,0,Dawes,NE,0,100,100,100
31047,43,126,0.534011443,Dawson,NE,423.6312778,34.12698413,61.9047619,88.88888889
31049,0,0,0,Deuel,NE,0,100,100,100
31051,0,10,0.177430802,Dixon,NE,67.24627395,0,0,60
31053,0,47,0.12853822,Dona Ana,NE,73.15110078,0,14.89361702,72.34042553
31055,11,518,0.090666116,Douglas,NE,42.33200951,2.123552124,12.35521236,37.06563707
31057,0,0,0,Dundy,NE,0,100,100,100
31059,0,1,0.018308312,Fillmore,NE,1.13145368,0,0,0
31061,0,1,0.033568312,Franklin,NE,2.578046324,0,0,0
31063,0,1,0.038066235,Frontier,NE,3.783783784,0,0,0
31065,0,1,0.0213858,Furnas,NE,3.902908469,0,0,100
31067,0,4,0.018593409,Gage,NE,2.054571654,0,0,25
31069,0,0,0,Garden,NE,0,100,100,100
31071,0,0,0,Garfield,NE,0,100,100,100
31073,0,2,0.100502513,Gosper,NE,0.512562814,0,0,0
31075,0,0,0,Grant,NE,0,100,100,100
31077,0,0,0,Greeley,NE,0,100,100,100
31079,0,155,0.252636383,Hall,NE,169.2916402,0,66.4516129,81.93548387
31081,0,0,0,Hamilton,NE,0,100,100,100
31083,0,0,0,Harlan,NE,0,100,100,100
31085,0,0,0,Hayes,NE,0,100,100,100
31087,0,1,0.036205648,Hitchcock,NE,7.034757422,0,0,0
31089,0,1,0.009933446,Holt,NE,0.974471044,0,0,0
31091,0,1,0.146627566,Hooker,NE,21.52492669,0,0,0
31093,0,4,0.062063615,Howard,NE,4.983708301,0,0,75
31095,0,2,0.028384899,Jefferson,NE,6.202100483,0,0,0
31097,0,1,0.019719976,Johnson,NE,11.39223033,0,0,100
31099,0,2,0.030792918,Kearney,NE,2.891454965,0,0,0
31101,0,1,0.0124471,Keith,NE,2.82300224,0,0,0
31103,0,0,0,Keya Paha,NE,0,100,100,100
31105,0,0,0,Kimball,NE,0,100,100,100
31107,0,2,0.024003841,Knox,NE,7.866058569,0,0,50
31109,0,211,0.066125545,Lancaster,NE,20.00297722,0,15.16587678,43.60189573
